Email,Avatar,Avg Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent
brenda82@maldonado-gonzalez.net,MediumVioletRed,33.90022441,10.95679097,37.26687826,2.952668958,442.6672517
josephgould@west.info,DarkBlue,34.18777483,10.32011626,37.4534051,2.094891706,384.6265716
wbrady@yahoo.com,SandyBrown,33.76206924,9.984514397,35.9334493,3.855471685,451.4574469
smithtracey@mcgee.com,DarkOliveGreen,34.39016366,12.64519514,38.46832111,2.87459691,522.4041413
amberchase@fowler.info,GreenYellow,33.9252966,11.58865542,35.25224202,3.392050489,483.673308
gregoryholmes@hotmail.com,DarkSalmon,32.6882293,13.76153285,39.25293095,2.995761183,520.8987945
jeffreydawson@gmail.com,DarkSeaGreen,34.30187022,10.56829469,36.17312563,3.315224754,453.1695024
rjohns@gmail.com,DeepPink,32.84393022,11.83228622,36.81401056,3.471919137,496.6507081
john85@martin-morgan.com,Olive,33.75499473,12.06415663,37.27122169,3.970555628,547.3651406
vcoleman@yahoo.com,SkyBlue,33.87978429,12.4955916,38.05260975,4.639320332,616.851523
floresarthur@yahoo.com,Magenta,33.07653561,9.607314688,36.49399255,5.081210092,507.212569
ryan36@gmail.com,DarkTurquoise,32.22729914,13.72862718,37.99702801,4.802630631,613.5993234
chris67@ryan.biz,Silver,32.78977262,11.67006592,37.40874848,3.414688423,483.1597208
katie25@gmail.com,SpringGreen,32.77260993,13.27631301,36.60077705,3.462298847,540.2634004
kyang@diaz.org,OliveDrab,34.37425805,15.12699429,37.15762409,5.377593584,765.5184619
tadams@contreras.info,Aqua,33.07871721,12.69578975,35.35844431,4.001786346,553.6015347
craigcastro@burgess.com,OrangeRed,32.8052204,11.83547609,36.37506611,3.43959056,469.3108615
ellen24@anthony.com,LimeGreen,32.43075793,11.30623234,37.68040323,2.779520719,408.6201878
davisrobert@hicks-smith.com,SkyBlue,32.17909997,11.18753891,40.00518164,3.552649767,451.5756852
walkerlaura@peterson-yates.com,LightGreen,33.15417579,11.88749413,36.2650007,2.602287112,444.9665517
marc54@hotmail.com,SandyBrown,34.33589584,12.22893471,36.15719115,4.694322274,595.8228367
gregoryrussell@yahoo.com,Teal,32.38625186,10.67465347,38.00658318,3.401522345,418.1500811
williamsjohnny@ferguson.info,LightYellow,32.80869759,12.81711309,37.03153922,3.8515788,534.7771881
haydenrebecca@gmail.com,MintCream,33.87974497,13.58780608,38.26035344,3.258112883,578.2416051
langmatthew@hotmail.com,DimGray,32.04983939,12.23805735,38.73086174,3.120568915,478.7193569
david43@richards.com,Indigo,33.55520742,11.55182117,36.62883429,2.837943164,444.2859075
paulkemp@yahoo.com,LightSalmon,33.14207933,11.43337993,35.89243163,4.470282584,544.7798637
fbryant@gmail.com,GreenYellow,32.59718266,10.88956686,38.21257083,4.442054329,488.7860611
kimberlyfrederick@gmail.com,DeepSkyBlue,33.16713688,11.92884209,36.91463331,3.164943995,475.7590678
sharon82@saunders.info,DarkGreen,31.51473786,12.59567131,39.60037647,3.751734552,489.812488
fishermichael@ramos.com,LimeGreen,34.59402115,10.94725858,35.88399439,3.159754444,462.8976362
ilawson@hotmail.com,DarkGoldenRod,33.50136982,13.89808199,37.05891282,4.130562809,596.4301726
shafferdaniel@murphy-harris.info,Turquoise,32.40237102,10.87555955,37.78114256,1.914089924,338.3198626
stevenanderson@yahoo.com,LightGreen,34.65548568,10.3380727,36.15725594,4.396651901,533.5149353
richard16@boyer-pratt.com,LightSteelBlue,31.80930032,11.63466822,36.18253928,5.113319475,536.7718994
hyoung@jones.info,Cornsilk,33.8777793,12.51766629,37.15192066,2.669941624,487.379306
erik46@hotmail.com,LemonChiffon,34.44787144,10.60772387,36.81909551,3.366463743,473.7289665
rojasmichael@wagner-thomas.com,DarkKhaki,31.95630056,12.8288934,36.95161668,4.571213024,547.1259317
lance88@briggs.com,FireBrick,32.60558364,12.06881608,36.1050005,3.917451119,505.1133435
anthony09@hotmail.com,LightSeaGreen,32.4914466,12.53035737,37.8752191,2.476139051,449.0703194
audreyjohnson@rosales.com,SlateGray,33.61601855,13.5162843,36.77312349,4.125584363,611.0000251
beth76@yahoo.com,Crimson,33.47160053,11.66226343,36.05024078,3.997255378,515.8288149
larrywest@davis.com,MidnightBlue,33.71065306,13.66474788,37.72438616,1.36267408,439.0747667
raylopez@hotmail.com,DarkGoldenRod,32.1977238,11.83023109,36.6338567,4.193324636,514.0889577
middletonrenee@gmail.com,DarkCyan,32.46121245,13.29114305,38.63362565,3.8710034,543.3401663
grichardson@ryan.info,SteelBlue,33.79038721,11.94234087,38.06341359,4.081802695,521.1429518
esmith@gmail.com,OldLace,34.18382052,13.34991294,37.82739423,4.252006106,614.7153338
michael53@munoz.com,MediumBlue,32.28866691,12.02011209,39.07440021,3.911708668,507.3900618
jacqueline46@mcdonald-smith.biz,Gray,33.82635201,12.08409173,35.89035796,3.021671822,495.2994425
briannasantana@gmail.com,LightPink,32.49839307,13.41075918,35.99048895,3.184618662,518.064558
mark52@yahoo.com,BlanchedAlmond,31.8854063,11.28193107,37.38531755,2.877224878,390.103273
acampbell@sanchez-velasquez.info,Wheat,32.42569728,11.44890154,37.58019043,2.586967985,420.7376732
qgarcia@williams.com,Aqua,33.43782956,12.59542035,36.2620318,2.969640227,492.1050524
jenniferking@hess.net,BlueViolet,31.38958548,10.99422392,38.07445242,3.428859904,410.0696111
taylor91@hotmail.com,CadetBlue,33.46869995,13.08550576,35.84582711,2.926940235,497.5136833
afry@ford.biz,PaleTurquoise,32.2917561,12.19047429,36.15246209,3.781823039,494.5518611
amandadean@gmail.com,DimGray,32.06377462,10.71914974,37.71250864,3.004742536,378.3309069
brenda68@hotmail.com,Moccasin,33.1556997,12.93155027,38.16643556,3.854473856,570.4517259
bakerdrew@gmail.com,Chartreuse,33.35687434,13.45212896,38.50300885,3.318822279,549.0082269
connorlambert@yahoo.com,Khaki,31.8530748,12.14937549,37.32533422,3.361814624,459.2851235
tknapp@yahoo.com,MediumSpringGreen,32.01230077,12.17833133,37.71598618,3.722561173,492.9450531
garcialisa@yahoo.com,LemonChiffon,32.38845163,11.01048213,38.41504158,3.54354705,424.7626355
josephallen@hotmail.com,PeachPuff,32.65318146,11.60253219,37.30968877,2.789461516,422.4267759
hailey18@yahoo.com,Lime,32.93133644,12.73221159,35.60082055,5.485976734,642.1015787
whess@hotmail.com,Tomato,33.2356065,11.22336889,37.69230086,2.594189721,413.3717831
josesims@hunter.com,SlateBlue,33.9257949,12.01102188,36.70105232,2.753424169,479.2310929
dtaylor@webb.com,Orange,33.05926409,11.7259101,35.9990993,5.004820577,593.0772413
briangonzales@gmail.com,Fuchsia,32.40173183,12.08930957,38.3099079,3.873337569,506.5473071
jared99@yahoo.com,GoldenRod,33.88994101,13.06863858,37.54052036,3.798725319,571.3074949
qchristian@martinez-allen.com,GreenYellow,34.56938122,12.85499037,35.00748226,3.292797663,576.3111774
ngarcia@donaldson.info,ForestGreen,33.7016052,11.56402237,37.67321037,4.716104987,576.8025474
scastillo@hotmail.com,Moccasin,33.26833022,11.1133299,37.38794554,4.01872661,514.2395207
joshua56@garcia.com,Indigo,31.35847719,12.80988347,36.54966799,3.63770128,495.1759504
richard81@day.org,SlateBlue,33.01479222,11.76117233,37.57016384,3.834169667,514.3365583
jessica97@hotmail.com,Cyan,31.57613197,12.57989417,37.09326487,4.531986607,541.226584
angelaphillips@gmail.com,MintCream,32.65726859,11.95792306,36.63465233,4.106055152,516.8315567
donald67@harrison.com,Lime,34.7093233,10.65179378,37.14600653,3.218265385,468.4457372
zmalone@yahoo.com,Moccasin,34.53665918,12.75207661,36.71413784,3.283663455,548.2803202
rlindsey@norris.com,Green,32.77171501,11.54083244,37.52642103,2.924020725,431.6177338
lewisgabrielle@hotmail.com,LightSkyBlue,33.70040046,11.92439492,37.24503247,3.905250309,552.9403455
kristina69@gmail.com,BlueViolet,32.43977025,12.42413041,38.94882503,4.920318406,573.3062223
krista86@norton.net,Azure,34.312167,11.81058676,37.41413357,2.473596121,452.627255
chelsea05@hansen.com,LightGray,32.45517629,12.75916898,36.59911235,4.131276648,542.7115581
jill33@allen.com,DarkCyan,33.54097679,11.85189083,37.42454792,1.767730708,407.8040306
welchashlee@hotmail.com,GreenYellow,33.35839828,12.70368793,36.10091445,2.724108202,482.3535703
dawnlewis@watkins.org,Crimson,32.68612926,12.21525242,36.59436168,3.89711586,529.2300901
ashleychristopher@gmail.com,MediumOrchid,34.55829461,11.281445,36.49440648,2.491671541,433.0487691
acontreras@hotmail.com,Sienna,33.54774794,10.73536292,37.45837473,3.863425442,476.1914133
alvaradoadam@jones-thompson.com,Aquamarine,31.95490386,10.96313178,37.32728269,3.5786339,439.9978799
thomasgeorge@gonzalez-grant.com,FloralWhite,31.06621816,11.73509455,36.59937399,3.958892264,448.9332932
solischristina@gmail.com,SlateBlue,31.85125313,12.41896198,35.97765171,3.25174177,472.9922467
jacksonboone@rubio.com,Sienna,32.60928264,10.53730754,35.7305524,3.914384667,463.923513
kaitlyn78@chang.com,LimeGreen,32.11511907,11.9192424,39.29404346,1.443515075,350.0582002
francisgeorge@thomas.org,Teal,33.92462481,11.91141556,38.2747022,2.910037917,460.0612774
linda90@yoder.org,WhiteSmoke,33.4771904,12.488067,36.51838359,3.345570976,505.7711403
david79@lopez-montes.com,Purple,32.11640012,12.38069498,37.23200331,3.089527782,463.4849954
micheleblanchard@lopez-greene.com,SlateGray,32.2559012,10.48050683,37.33866962,4.514122441,479.7319376
pmercado@rodriguez.com,LightPink,32.69239222,12.29651768,36.95155521,1.825884669,424.1854943
james30@carter.biz,LimeGreen,32.38473266,10.8616042,36.58443762,3.993656513,465.8893127
parkerkayla@miles.com,DarkSlateBlue,34.33872939,10.71635514,38.30720401,2.652158305,426.775216
alicia85@lee.com,DimGray,32.88710465,12.38718417,37.4311591,6.401228838,684.163431
dominguezjacob@hotmail.com,CornflowerBlue,32.51021799,10.98483589,37.39649748,5.391275125,555.8925954
ebrown@osborne.com,DarkSlateGray,31.94539575,12.96576148,36.9663889,6.076653638,657.0199239
nathan86@hotmail.com,MidnightBlue,36.13966249,12.05026723,36.95964319,3.864860739,595.8038189
aaron11@luna.com,LightSkyBlue,32.44952156,13.45772494,37.23880567,2.941410754,503.9783791
fsnow@ellis.com,MediumBlue,32.29464155,12.44304789,37.32784804,5.084861309,586.1558702
asilva@yahoo.com,Wheat,34.60331112,12.20729849,33.91384725,6.922689335,744.2218671
casey21@johnson.com,SpringGreen,33.59852032,11.58631953,39.09462703,3.60439856,512.8253581
campbellross@yahoo.com,DarkRed,34.56868085,11.37808709,38.30447119,3.78493211,528.2238094
blevinseric@stephens.com,Orange,32.83810016,12.3643416,38.03910939,3.309182328,468.9135013
stevenking@patterson.com,LightGray,33.50370518,12.39943608,35.01280603,0.968622116,357.5914394
samuel94@hotmail.com,DarkViolet,33.30188161,12.54248105,38.3113649,3.768561963,536.4231045
johnsonpaul@keller-woodard.org,LimeGreen,30.87948434,13.28043224,36.93615938,3.585160635,490.2066
twilliams@gibbs.net,CadetBlue,33.15425476,11.79588668,37.65861691,4.520353377,550.0475806
teresapacheco@salinas.biz,DarkMagenta,32.04780098,12.71803917,37.66110668,3.6758488,513.4505712
allison80@carson-hansen.com,ForestGreen,33.63080077,12.03964784,38.92408705,2.873007509,497.81193
turnerryan@hotmail.com,LightSkyBlue,34.04663803,12.47445545,35.03785616,4.055775962,578.9862586
walkererica@scott.com,MediumAquaMarine,33.644177,13.16002004,36.40774745,3.015175299,506.5363931
mark94@yahoo.com,Salmon,32.65462161,11.05232365,37.63300942,4.717102513,501.7492333
daniellecuevas@hotmail.com,LavenderBlush,33.42874704,10.63676108,37.57883524,2.926396449,421.9667942
gbarnes@gmail.com,Green,31.86483255,13.44340599,36.87831537,2.361086947,439.8912805
cody68@hotmail.com,SpringGreen,34.48238805,13.28303287,35.90729843,4.968742674,666.1255917
fischermonica@gmail.com,Navy,32.52976873,11.7477317,36.93988205,0.80151572,298.7620079
brenda25@gmail.com,OliveDrab,33.4322314,10.85960853,38.83567008,3.669225611,465.1766233
david58@yahoo.com,LightSalmon,33.30857162,11.69168613,37.48091198,1.715777167,373.8857237
clifford76@johnson.com,RosyBrown,32.33263707,11.54876144,38.57651555,4.773503047,532.7174857
jacquelinehughes@bennett-branch.info,DeepPink,34.71345123,11.72400223,36.81385766,4.087837273,554.900783
victoria53@hotmail.com,Pink,32.635878,12.17857308,35.67425603,4.13175504,537.7731625
cunninghamkyle@ellis-parker.org,LightGreen,33.07570303,12.31984506,37.81915511,3.442799202,501.1002452
jjones@yahoo.com,GreenYellow,32.23014912,11.08436084,37.95968432,4.72402744,517.1651356
michaelferguson@torres-miles.net,Sienna,34.14286337,13.17777453,38.85604171,3.230973843,557.5292736
crawforderik@price.org,DarkKhaki,32.49719846,12.83280284,37.67924462,2.972271382,493.719193
jlawson@mccarthy.com,LightGray,33.12239998,11.509048,37.25305774,3.182329732,452.1226251
marshchristopher@zimmerman-villegas.com,DarkRed,33.08852937,11.85766344,36.08693433,4.806349619,577.273455
oolson@collins.com,Aqua,32.53379686,12.29336584,37.0646212,3.620364988,485.9231305
isaiahcampbell@yahoo.com,Red,32.48426048,10.93325228,36.54550623,3.261324745,425.745092
kcannon@alvarez-cline.info,Lavender,32.54345917,13.33283928,37.96439033,3.597459969,537.2150527
nielsencarmen@harrell.net,DeepPink,32.28312306,10.90255623,36.09424195,4.789201624,524.6379646
efreeman@moore.com,White,32.20079864,12.27698171,38.23260623,3.316464745,478.8853913
roblessarah@hotmail.com,MediumSeaGreen,34.71331651,12.03880824,37.63529941,4.632460946,612.3852299
christopherhaas@gmail.com,MediumPurple,32.71251233,11.72447386,37.1531516,3.308443001,476.7667242
ethomas@yahoo.com,LightGreen,33.69489765,11.2026699,35.49396408,4.01598664,505.1196375
wevans@gmail.com,Tan,31.57020083,13.37806333,36.33780003,4.369366794,545.9454921
patrickorr@yahoo.com,LawnGreen,33.45947685,11.38861262,37.90913872,2.566639844,434.0216998
mary84@edwards.com,LightSkyBlue,31.8209982,10.77107406,37.27863979,3.519032434,424.675281
longwilliam@gmail.com,BurlyWood,32.73322416,11.81857176,37.10203133,1.503854421,352.5501082
lisagutierrez@johnson-herring.net,Peru,32.4071483,13.80879868,37.42676892,5.039955264,662.9610878
david81@hotmail.com,Thistle,33.50609228,11.65983284,37.28139283,4.478712608,560.5601606
jacksonking@mccormick.com,DarkMagenta,30.83643267,13.10010954,35.90772143,3.361612985,467.5019004
jessica04@christian-riley.com,LemonChiffon,34.87849495,13.06789568,36.67822227,1.920715478,504.8704324
simmonsmartin@hardy.com,MediumVioletRed,34.00721197,12.49432293,36.04545942,4.330714462,590.5627196
michellejohnson@sanders-rodriguez.com,Teal,31.52575242,11.34003593,37.03951365,3.811248171,443.9656268
tylerhernandez@barton.info,SlateGray,31.04722214,11.19966096,38.6887091,3.088763958,392.4973992
connerjoseph@gmail.com,Turquoise,34.59577669,11.33248778,35.4598628,4.541695257,568.7175759
jeffrey54@mcdonald-williams.com,Gainsboro,34.96760989,13.9194944,37.95201319,5.066696864,712.3963268
hevans@kelly-nunez.org,Orchid,32.29524763,11.03135834,38.25297827,3.107468683,413.2959992
lewiskendra@yahoo.com,Yellow,33.32424052,11.08458409,36.77601658,4.746989703,562.0820454
freemantina@cannon.org,AntiqueWhite,32.90345433,10.54264542,35.5338635,3.09182687,412.0129313
wagnerbrian@hotmail.com,AliceBlue,32.55949313,11.79779551,37.7773658,3.195625776,468.6684656
melissa08@nelson.com,Tomato,31.76561882,12.44261655,38.13171203,3.850279639,496.5540816
karina59@gmail.com,PapayaWhip,34.0816462,12.10454243,36.05964598,3.97452248,548.5185293
baldwinbryan@estrada-silva.biz,MediumSeaGreen,33.30443129,12.37849022,38.76429717,3.843848921,536.1308969
audreyguerrero@carey.com,BlueViolet,34.33075044,13.72245368,35.77311639,2.90900846,558.4272572
drew29@hotmail.com,Tomato,32.07894758,12.72590932,36.5446641,1.139093538,357.8637186
michael00@yahoo.com,DarkSlateGray,33.605799,13.6851189,34.89198327,2.685284836,529.0566632
jgray@khan-allen.com,Gold,32.74515048,10.01258337,38.35495987,3.108911449,387.3570727
bushsusan@hotmail.com,Moccasin,32.1223648,11.43553387,36.22355746,4.852842407,528.9336186
charris@gmail.com,MediumSeaGreen,32.53082944,12.35460708,37.12234521,2.307552421,420.9161595
longphillip@yahoo.com,LightGreen,31.73663569,10.74853366,35.73870747,4.835528667,496.9334463
madisonalexander@gmail.com,Orange,34.11756669,11.59187167,37.7436197,3.678589399,519.3729768
mfoster@brown-white.com,Cyan,33.63662446,11.23650676,37.67502073,5.254708926,591.4377356
sanchezkara@hotmail.com,SlateBlue,34.33486453,11.10945633,38.58585476,3.89289148,502.4097853
floresbradley@hotmail.com,BlanchedAlmond,34.81498394,12.11494496,36.28872395,4.389455226,604.3348401
lamryan@curtis-garcia.net,LavenderBlush,34.64266976,11.86648121,37.71777057,4.003325039,555.0683941
alexandra26@summers-davis.com,Navy,32.83694077,10.25654903,36.14390846,0.789519908,256.6705823
ocortez@gmail.com,MediumBlue,32.29964716,12.16859647,37.07361617,4.403369831,547.1109824
melinda39@morton.info,Moccasin,31.94801742,13.08535689,37.6056528,2.64859677,461.9208769
lisa94@jackson.com,CadetBlue,32.7273192,13.01337563,36.65127792,2.367848224,458.3769107
lucastaylor@yahoo.com,MediumTurquoise,33.94624062,10.98397673,37.95148946,3.050712973,436.2834981
apark@walsh-obrien.net,DarkGreen,32.35147815,13.10515852,35.57484167,3.641497162,532.9352188
dominguezmaria@gmail.com,RoyalBlue,34.17375202,12.14474854,37.25803146,3.397363093,512.5525344
jimmy11@hardin.com,DarkGoldenRod,32.97518183,13.90991551,37.79223754,4.297686524,630.4227632
patriciajackson@jenkins.info,Thistle,32.00475302,11.39520943,37.33281446,3.803364999,463.7459811
rayvanessa@fischer.com,White,34.19705969,13.03356618,37.07679516,2.633419989,493.1802162
gharrison@davis.com,MediumSpringGreen,33.17720467,11.62277717,35.96889569,3.634093727,501.2091727
alexandermichael@hotmail.com,WhiteSmoke,32.69323954,12.6007504,37.37011822,3.467014066,501.9282649
christopher66@hotmail.com,BurlyWood,31.62536013,13.18791099,37.06708997,1.494310895,376.3369008
archeremily@baldwin.com,YellowGreen,31.26064687,13.26676035,36.9711951,2.267251114,421.3266313
hornesteven@gmail.com,White,31.7207699,11.75234317,38.57360523,5.023934201,538.7749335
william28@gmail.com,Cyan,32.92261076,11.56811634,36.90937821,2.47175067,398.1634685
karenosborne@yahoo.com,SlateBlue,32.68624509,12.63857212,36.09722093,4.297737482,571.4710341
chansen@holt.com,LightSkyBlue,34.05094676,11.38864458,39.08156475,2.436958876,451.6286105
hallthomas@lane.com,DarkTurquoise,32.45455254,11.8229833,36.94612578,3.656983927,490.6004425
taylorkimberly@yahoo.com,Gainsboro,31.28344748,12.72567737,35.96566746,5.000243361,591.7810894
clester@yahoo.com,LightCyan,32.9800292,11.20115977,37.68933698,2.412830961,409.0704721
pvega@hotmail.com,LightCoral,31.90962683,11.34726361,36.32365247,5.314354141,563.4460357
vmartin@yahoo.com,Turquoise,34.40240965,14.22097911,37.52319665,4.077775098,647.6194557
andreperez@hotmail.com,DarkOliveGreen,32.95976431,11.54627576,36.94795369,3.275070681,448.340425
anntaylor@hotmail.com,Teal,33.78015676,11.91763618,36.84473382,3.634996006,518.7864831
hickmanelizabeth@yahoo.com,DeepPink,32.67294353,12.27605698,37.19279353,3.982471513,523.6339351
halljohn@yahoo.com,MediumTurquoise,32.72852076,10.13171246,34.84561239,3.287701824,393.857371
cohensean@yahoo.com,DarkCyan,33.40992259,12.02694222,36.13389429,2.313349885,426.1545477
jmartinez@anderson.org,PeachPuff,31.72420252,13.1722875,36.19975347,3.557813698,503.3878873
cbrady@gonzalez-miller.com,Aqua,32.7111193,12.32629139,36.67387836,3.350279288,482.6024673
pkline@hotmail.com,MediumTurquoise,33.13665525,13.89131342,39.22071295,2.907094935,524.7976276
martha91@garrison.net,HotPink,34.37939438,12.93092854,36.3602472,3.792711955,574.6548434
maureenlopez@gmail.com,SeaShell,35.53090415,11.37925718,36.63610412,4.029453828,574.7472197
russellbaldwin@ferrell.info,Orange,33.24726795,14.06938234,38.99332245,4.978475793,660.4251843
amandastanley@yahoo.com,CadetBlue,32.09610899,10.80489056,37.37276215,2.699562055,375.3984554
george02@hotmail.com,LightCoral,35.03928306,14.42649105,37.3741835,3.930615327,640.18774
swilliams@ball-arroyo.com,Orchid,32.55052657,13.04124459,36.65520808,3.456233824,514.0098178
taylorjared@foster.net,Crimson,32.58249357,11.7397438,36.85481082,2.18201697,376.4968407
keith13@yahoo.com,LightGoldenRodYellow,33.29698192,12.49105874,38.23894085,2.709526627,484.5198091
schmidtdenise@hotmail.com,DarkGoldenRod,33.10833615,12.89237451,36.5273883,4.594116865,614.7296376
jasmin20@salas.com,HotPink,33.90271779,11.66886651,37.34126616,4.25698329,567.4750105
christophermorrison@mcguire-carter.biz,Blue,34.55528259,11.77777204,37.97982686,3.784273087,554.0030934
deborah51@yahoo.com,Violet,33.73264839,12.13879388,36.85388246,1.623419609,399.9838716
melindahartman@gmail.com,Pink,31.6005122,12.22296745,36.82275323,3.41450624,479.1728515
sharper@yahoo.com,SandyBrown,34.31892744,13.4023319,37.29204471,3.606086889,585.9318443
jessicabrewer@simmons.net,LightBlue,34.00648892,12.95627661,38.65509454,3.275733705,540.9957391
beckycarson@jones-brown.biz,Gold,33.54047906,12.88412462,36.22604169,5.007271987,628.0478039
jennifer24@hotmail.com,SteelBlue,34.43642584,13.3254691,36.76860309,3.371258113,582.4919237
jeremy00@yahoo.com,FloralWhite,33.55169914,12.15858523,36.57513378,5.453969475,640.7861664
wellsjuan@schroeder.com,Green,31.81861657,11.22654566,35.66993517,3.755869389,446.4186734
gregorystewart@hotmail.com,PaleGoldenRod,32.36312129,12.46113544,37.74560774,4.664258497,570.6300981
tammyjones@griffin.com,Navy,33.19157088,9.846124909,36.87631323,3.806670949,423.3083341
djohnson@hotmail.com,Coral,32.19249883,13.32541219,36.89729461,5.049927475,616.660286
kenneth27@smith.com,DarkGreen,32.60790272,13.67724584,37.7446997,2.871947536,530.3624689
johnathan33@yahoo.com,LightSteelBlue,32.26200311,11.64496955,37.02687697,3.236732814,442.3631174
carrillojacob@perry-larsen.com,Aquamarine,32.27184828,13.48500899,37.55088041,3.086337272,511.97986
greenelizabeth@edwards.com,DarkViolet,33.79512493,11.62099651,38.41946853,4.559699083,560.4437922
denisemorrow@johnson-james.net,MediumSpringGreen,31.65480968,13.01445915,37.78903635,3.010209778,475.2634237
